  	25083	0.0168018
ךי	1952	0.00130754
ךך	2196	0.00147099
ךכ	1358	0.000909654
ךל	2053	0.0013752
ךם	2119	0.00141941
ךמ	1257	0.000841999
ךן	451	0.000302101
ךנ	658	0.00044076
ךס	720	0.000482291
ךע	2317	0.00155204
ךף	617	0.000413296
ךפ	28	1.87557e-05
ךץ	1022	0.000684585
ךצ	59	3.9521e-05
ךק	224	0.000150046
ךר	71	4.75592e-05
ךש	6	4.01909e-06
ךû	232	0.000155405
ךü	3	2.00954e-06
ך‎	167	0.000111865
ך‏	735	0.000492338
ךÿ	565	0.000378464
כ 	12556	0.00841061
כא	419	0.000280666
כב	1051	0.00070401
כג	2223	0.00148907
כד	1211	0.000811186
כה	2378	0.0015929
כו	1821	0.00121979
כז	915	0.000612911
כח	981	0.000657121
כט	684	0.000458176
כי	635	0.000425353
כך	3205	0.00214686
ככ	432	0.000289374
כל	1141	0.000764297
כם	6970	0.00466884
כמ	598	0.000400569
כן	381	0.000255212
כנ	228	0.000152725
כס	3683	0.00246705
כע	2514	0.001684
כף	148	9.91375e-05
כפ	32	2.14351e-05
כץ	252	0.000168802
כצ	496	0.000332245
כק	2224	0.00148974
כר	1772	0.00118697
כש	90	6.02863e-05
כû	53	3.55019e-05
כü	2	1.3397e-06
כ‎	48	3.21527e-05
כ‏	461	0.0003088
כÿ	940	0.000629657
ל 	10513	0.00704211
לא	214	0.000143347
לב	517	0.000346311
לג	897	0.000600854
לד	1215	0.000813865
לה	753	0.000504396
לו	1875	0.00125596
לז	1618	0.00108381
לח	258	0.000172821
לט	1070	0.000716737
לי	364	0.000243825
לך	558	0.000373775
לכ	1536	0.00102889
לל	1234	0.000826592
לם	4913	0.00329096
למ	1409	0.000943816
לן	1015	0.000679896
לנ	2074	0.00138926
לס	2666	0.00178581
לע	1739	0.00116487
לף	361	0.000241815
לפ	73	4.88989e-05
לץ	336	0.000225069
לצ	607	0.000406598
לק	376	0.000251863
לר	373	0.000249853
לש	284	0.000190237
לû	182	0.000121912
ל‎	138	9.2439e-05
ל‏	383	0.000256552
לÿ	476	0.000318848
ם 	20242	0.0135591
םא	1126	0.000754249
םב	528	0.00035368
םג	2426	0.00162505
םד	2246	0.00150448
םה	1045	0.000699991
םו	7130	0.00477602
םז	581	0.000389182
םח	1163	0.000779033
םט	2568	0.00172017
םי	4139	0.0027725
םך	2589	0.00173424
םכ	1798	0.00120439
םל	4859	0.00325479
םם	1485	0.000994724
םמ	4412	0.00295537
םן	880	0.000589466
םנ	2138	0.00143214
םס	4288	0.00287231
םע	2963	0.00198476
םף	652	0.000436741
םפ	22	1.47367e-05
םץ	2032	0.00136113
םצ	1234	0.000826592
םק	2028	0.00135845
םר	2757	0.00184677
םש	21	1.40668e-05
םû	1856	0.00124324
ם‎	11	7.36833e-06
ם‏	1594	0.00106774
םÿ	3784	0.0025347
מ 	22252	0.0149055
מא	7373	0.00493879
מב	2257	0.00151185
מג	4114	0.00275575
מד	1597	0.00106975
מה	4165	0.00278992
מו	9054	0.0060648
מז	1234	0.000826592
מח	1319	0.000883529
מט	10469	0.00701264
מי	376	0.000251863
מך	2115	0.00141673
מכ	2965	0.0019861
מל	2426	0.00162505
מם	9996	0.0066958
ממ	17066	0.0114316
מן	3582	0.0023994
מנ	4712	0.00315632
מס	4625	0.00309805
מע	7975	0.00534204
מף	5672	0.00379938
מפ	202	0.000135309
מץ	883	0.000591476
מצ	555	0.000371766
מק	1113	0.000745541
מר	119	7.97119e-05
מש	881	0.000590136
מû	3912	0.00262045
מü	6263	0.00419526
מ‎	599	0.000401239
מ‏	340	0.000227748
מÿ	1929	0.00129214
ן 	1065	0.000713388
ןא	1545	0.00103492
ןב	421	0.000282006
ןג	455	0.000304781
ןד	311	0.000208323
ןה	1661	0.00111262
ןו	2675	0.00179184
ןז	58	3.88512e-05
ןח	332	0.00022239
ןט	3436	0.0023016
ןי	142	9.51184e-05
ןך	612	0.000409947
ןכ	2699	0.00180792
ןל	542	0.000363058
ןם	924	0.00061894
ןמ	4239	0.00283949
ןן	265	0.00017751
ןנ	3411	0.00228485
ןס	2472	0.00165586
ןע	1804	0.00120841
ןף	125	8.3731e-05
ןפ	2	1.3397e-06
ןץ	358	0.000239806
ןצ	106	7.10039e-05
ןק	694	0.000464875
ןר	105	7.0334e-05
ןש	57	3.81813e-05
ןû	128	8.57405e-05
ן‎	108	7.23436e-05
ן‏	65	4.35401e-05
ןÿ	332	0.00022239
נ 	3214	0.00215289
נא	2511	0.00168199
נב	1968	0.00131826
נג	3838	0.00257088
נד	1674	0.00112133
נה	5359	0.00358972
נו	2480	0.00166122
נז	1483	0.000993385
נח	3309	0.00221653
נט	2536	0.00169873
ני	1269	0.000850037
נך	1635	0.0010952
נכ	1207	0.000808507
נל	2421	0.0016217
נם	3919	0.00262513
נמ	1189	0.000796449
נן	986	0.00066047
ננ	287	0.000192246
נס	3967	0.00265729
נע	4368	0.0029259
נף	567	0.000379804
נפ	324	0.000217031
נץ	790	0.00052918
נצ	296	0.000198275
נק	690	0.000462195
נר	1073	0.000718747
נש	254	0.000170141
נû	553	0.000370426
נü	39	2.61241e-05
נ‎	13	8.70802e-06
נ‏	304	0.000203634
נÿ	835	0.000559323
ס 	9817	0.0065759
סא	5340	0.00357699
סב	2423	0.00162304
סג	7603	0.00509285
סד	951	0.000637025
סה	1945	0.00130285
סו	4120	0.00275977
סז	171	0.000114544
סח	600	0.000401909
סט	6186	0.00414368
סי	339	0.000227078
סך	711	0.000476262
סכ	1751	0.0011729
סל	2900	0.00194256
סם	1045	0.000699991
סמ	10124	0.00678154
סן	399	0.000267269
סנ	2399	0.00160697
סס	1018	0.000681905
סע	1174	0.000786402
סף	2122	0.00142142
ספ	70	4.68894e-05
סץ	735	0.000492338
סצ	416	0.000278657
סק	326	0.00021837
סר	15	1.00477e-05
סש	446	0.000298752
סû	882	0.000590806
סü	1810	0.00121242
ס‎	123	8.23913e-05
ס‏	508	0.000340283
סÿ	564	0.000377794
ע 	22096	0.014801
עא	2672	0.00178983
עב	1219	0.000816545
עג	3593	0.00240676
עד	2064	0.00138257
עה	492	0.000329565
עו	4073	0.00272829
עז	550	0.000368416
עח	260	0.00017416
עט	2830	0.00189567
עי	1246	0.000834631
עך	3613	0.00242016
עכ	6663	0.0044632
על	4009	0.00268542
עם	2274	0.00152323
עמ	4129	0.0027658
ען	2248	0.00150582
ענ	5592	0.00374579
עס	2618	0.00175366
עע	3511	0.00235184
עף	1253	0.00083932
עפ	61	4.08607e-05
עץ	1010	0.000676546
עצ	149	9.98074e-05
עק	1850	0.00123922
ער	75	5.02386e-05
עש	30	2.00954e-05
עû	461	0.0003088
ע‎	177	0.000118563
ע‏	778	0.000521142
עÿ	3666	0.00245566
ף 	4422	0.00296207
ףא	3736	0.00250255
ףב	196	0.00013129
ףג	486	0.000325546
ףד	273	0.000182869
ףה	507	0.000339613
ףו	3809	0.00255145
ףז	313	0.000209662
ףח	341	0.000228418
ףט	2745	0.00183873
ףך	422	0.000282676
ףכ	561	0.000375785
ףל	411	0.000275308
ףם	1820	0.00121912
ףמ	1934	0.00129549
ףן	903	0.000604873
ףנ	753	0.000504396
ףס	1184	0.0007931
ףע	1450	0.00097128
ףף	773	0.000517792
ףפ	37	2.47844e-05
ףץ	40	2.67939e-05
ףצ	35	2.34447e-05
ףק	127	8.50707e-05
ףר	326	0.00021837
ףש	305	0.000204304
ףû	360	0.000241145
ףü	1271	0.000851377
ף‎	108	7.23436e-05
ף‏	11	7.36833e-06
ףÿ	215	0.000144017
פ 	90	6.02863e-05
פא	306	0.000204973
פב	26	1.7416e-05
פג	13	8.70802e-06
פד	16	1.07176e-05
פה	40	2.67939e-05
פו	19	1.27271e-05
פח	141	9.44486e-05
פט	41	2.74638e-05
פי	5	3.34924e-06
פך	205	0.000137319
פכ	72	4.82291e-05
פל	11	7.36833e-06
פם	157	0.000105166
פמ	311	0.000208323
פן	1	6.69848e-07
פנ	338	0.000226409
פס	129	8.64104e-05
פע	11	7.36833e-06
פף	1	6.69848e-07
פפ	1	6.69848e-07
פץ	3	2.00954e-06
פצ	47	3.14829e-05
פק	17	1.13874e-05
פר	5	3.34924e-06
פû	2	1.3397e-06
פ‏	2	1.3397e-06
פÿ	5	3.34924e-06
ץ 	1328	0.000889558
ץא	479	0.000320857
ץב	204	0.000136649
ץג	590	0.00039521
ץד	394	0.00026392
ץה	1616	0.00108247
ץו	124	8.30612e-05
ץז	180	0.000120573
ץח	316	0.000211672
ץט	556	0.000372435
ץי	20	1.3397e-05
ץך	256	0.000171481
ץכ	342	0.000229088
ץל	363	0.000243155
ץם	727	0.000486979
ץמ	463	0.00031014
ץן	978	0.000655111
ץנ	535	0.000358369
ץס	924	0.00061894
ץע	668	0.000447458
ץף	179	0.000119903
ץפ	96	6.43054e-05
ץץ	37	2.47844e-05
ץצ	66	4.421e-05
ץק	210	0.000140668
ץר	52	3.48321e-05
ץש	6	4.01909e-06
ץû	7	4.68894e-06
ץ‎	116	7.77024e-05
ץ‏	20	1.3397e-05
ץÿ	143	9.57883e-05
צ 	841	0.000563342
צא	481	0.000322197
צב	5	3.34924e-06
צג	324	0.000217031
צד	16	1.07176e-05
צה	11	7.36833e-06
צו	172	0.000115214
צז	1	6.69848e-07
צח	80	5.35878e-05
צט	943	0.000631667
צי	152	0.000101817
צך	8	5.35878e-06
צכ	692	0.000463535
צל	178	0.000119233
צם	478	0.000320187
צמ	998	0.000668508
צן	256	0.000171481
צנ	114	7.63627e-05
צס	67	4.48798e-05
צע	69	4.62195e-05
צף	16	1.07176e-05
צפ	53	3.55019e-05
צץ	28	1.87557e-05
צק	1	6.69848e-07
צü	1	6.69848e-07
צ‎	4	2.67939e-06
צ‏	196	0.00013129
צÿ	372	0.000249183
ק 	667	0.000446789
קא	118	7.90421e-05
קב	17	1.13874e-05
קג	549	0.000367747
קד	274	0.000183538
קה	58	3.88512e-05
קו	1070	0.000716737
קז	80	5.35878e-05
קח	35	2.34447e-05
קט	387	0.000259231
קי	305	0.000204304
קך	102	6.83245e-05
קכ	1447	0.00096927
קל	757	0.000507075
קם	1771	0.0011863
קמ	5141	0.00344369
קן	4	2.67939e-06
קנ	371	0.000248514
קס	3404	0.00228016
קע	1642	0.00109989
קף	114	7.63627e-05
קפ	1	6.69848e-07
קץ	112	7.5023e-05
קצ	4	2.67939e-06
קק	9	6.02863e-06
קר	22	1.47367e-05
קש	52	3.48321e-05
קû	298	0.000199615
ק‎	1	6.69848e-07
ק‏	84	5.62672e-05
קÿ	196	0.00013129
ר 	1873	0.00125463
רא	104	6.96642e-05
רב	92	6.1626e-05
רג	187	0.000125262
רד	545	0.000365067
רה	46	3.0813e-05
רו	789	0.00052851
רז	1	6.69848e-07
רח	2	1.3397e-06
רט	265	0.00017751
רי	766	0.000513104
רך	28	1.87557e-05
רכ	300	0.000200954
רל	631	0.000422674
רם	1372	0.000919031
רמ	537	0.000359708
רן	35	2.34447e-05
רנ	226	0.000151386
רס	113	7.56928e-05
רע	373	0.000249853
רף	110	7.36833e-05
רפ	8	5.35878e-06
רץ	591	0.00039588
רצ	2	1.3397e-06
רק	6	4.01909e-06
רר	2	1.3397e-06
רש	3	2.00954e-06
רû	63	4.22004e-05
ר‏	243	0.000162773
רÿ	176	0.000117893
ש 	1055	0.00070669
שא	2	1.3397e-06
שג	9	6.02863e-06
שד	224	0.000150046
שה	40	2.67939e-05
שו	469	0.000314159
שז	1	6.69848e-07
שח	1	6.69848e-07
שט	4	2.67939e-06
שי	387	0.000259231
שך	54	3.61718e-05
שכ	68	4.55497e-05
של	347	0.000232437
שם	384	0.000257222
שמ	88	5.89466e-05
שן	21	1.40668e-05
שנ	12	8.03818e-06
שס	607	0.000406598
שע	220	0.000147367
שף	1	6.69848e-07
שץ	274	0.000183538
שק	10	6.69848e-06
שר	1	6.69848e-07
שש	54	3.61718e-05
שû	18	1.20573e-05
ש‎	1	6.69848e-07
ש‏	129	8.64104e-05
שÿ	102	6.83245e-05
û 	10247	0.00686393
ûא	1972	0.00132094
ûב	326	0.00021837
ûג	743	0.000497697
ûד	121	8.10516e-05
ûה	405	0.000271288
ûו	651	0.000436071
ûז	34	2.27748e-05
ûח	167	0.000111865
ûט	1761	0.0011796
ûך	355	0.000237796
ûכ	447	0.000299422
ûל	227	0.000152055
ûם	965	0.000646403
ûמ	2033	0.0013618
ûן	733	0.000490999
ûנ	242	0.000162103
ûס	644	0.000431382
ûע	646	0.000432722
ûף	330	0.00022105
ûפ	23	1.54065e-05
ûץ	37	2.47844e-05
ûצ	15	1.00477e-05
ûק	50	3.34924e-05
ûר	128	8.57405e-05
ûש	1	6.69848e-07
ûû	94	6.29657e-05
ûü	409	0.000273968
û‎	141	9.44486e-05
û‏	6	4.01909e-06
ûÿ	249	0.000166792
ü 	2625	0.00175835
üא	789	0.00052851
üב	405	0.000271288
üג	1399	0.000937117
üד	204	0.000136649
üה	601	0.000402579
üו	1357	0.000908984
üז	84	5.62672e-05
üח	359	0.000240475
üט	1388	0.000929749
üי	12	8.03818e-06
üך	591	0.00039588
üכ	135	9.04295e-05
üל	505	0.000338273
üם	1398	0.000936448
üמ	5512	0.0036922
üן	971	0.000650422
üנ	274	0.000183538
üס	1345	0.000900946
üע	1155	0.000773674
üף	1012	0.000677886
üפ	44	2.94733e-05
üץ	100	6.69848e-05
üצ	33	2.2105e-05
üק	133	8.90898e-05
üר	26	1.7416e-05
üש	1	6.69848e-07
üû	1275	0.000854056
ü‎	278	0.000186218
ü‏	7	4.68894e-06
üÿ	1468	0.000983337
‎ 	5	3.34924e-06
‎א	269	0.000180189
‎ב	3	2.00954e-06
‎ג	2	1.3397e-06
‎ד	3	2.00954e-06
‎ו	153	0.000102487
‎ח	10	6.69848e-06
‎ט	1232	0.000825253
‎ך	5	3.34924e-06
‎כ	1	6.69848e-07
‎ם	5	3.34924e-06
‎מ	3558	0.00238332
‎נ	1	6.69848e-07
‎ס	34	2.27748e-05
‎ע	34	2.27748e-05
‎ף	189	0.000126601
‎פ	5	3.34924e-06
‎צ	9	6.02863e-06
‎ר	1	6.69848e-07
‎ü	7	4.68894e-06
‎ÿ	1	6.69848e-07
‏ 	1934	0.00129549
‏א	453	0.000303441
‏ב	163	0.000109185
‏ג	345	0.000231098
‏ד	112	7.5023e-05
‏ה	147	9.84677e-05
‏ו	778	0.000521142
‏ז	71	4.75592e-05
‏ח	85	5.69371e-05
‏ט	1326	0.000888218
‏ך	169	0.000113204
‏כ	72	4.82291e-05
‏ל	180	0.000120573
‏ם	403	0.000269949
‏מ	482	0.000322867
‏ן	455	0.000304781
‏נ	228	0.000152725
‏ס	776	0.000519802
‏ע	150	0.000100477
‏ף	164	0.000109855
‏פ	48	3.21527e-05
‏ץ	82	5.49275e-05
‏צ	34	2.27748e-05
‏ק	66	4.421e-05
‏ר	13	8.70802e-06
‏ש	2	1.3397e-06
‏û	105	7.0334e-05
‏ü	120	8.03818e-05
‏‎	67	4.48798e-05
‏‏	6	4.01909e-06
‏ÿ	115	7.70325e-05
ÿ 	3879	0.00259834
ÿא	698	0.000467554
ÿב	592	0.00039655
ÿג	1528	0.00102353
ÿד	259	0.000173491
ÿה	516	0.000345642
ÿו	1035	0.000693293
ÿז	89	5.96165e-05
ÿח	289	0.000193586
ÿט	2435	0.00163108
ÿך	642	0.000430042
ÿכ	876	0.000586787
ÿל	494	0.000330905
ÿם	2266	0.00151788
ÿמ	1506	0.00100879
ÿן	1355	0.000907644
ÿנ	433	0.000290044
ÿס	1657	0.00110994
ÿע	1622	0.00108649
ÿף	389	0.000260571
ÿפ	73	4.88989e-05
ÿץ	56	3.75115e-05
ÿצ	64	4.28703e-05
ÿק	178	0.000119233
ÿר	66	4.421e-05
ÿש	65	4.35401e-05
ÿû	269	0.000180189
ÿü	887	0.000594155
ÿ‎	313	0.000209662
ÿ‏	2	1.3397e-06
ÿÿ	139	9.31089e-05
