àà->0.000000 àá->0.000375 àâ->0.003156 àã->0.000980 àä->0.001777 àå->0.001311 àæ->0.001785 àç->0.003019 àè->0.000270 àé->0.000757 àê->0.005413 àë->0.007693 àì->0.003208 àí->0.003161 àî->0.000008 àï->0.000665 àð->0.001833 àñ->0.004965 àò->0.003707 àó->0.000044 àô->0.000108 àõ->0.000737 àö->0.000042 à÷->0.000836 àø->0.000949 àù->0.000196 àû->0.000000 àü->0.000000 àý->0.000000 àþ->0.000933 àÿ->0.001801 à ->0.015999 
ëà->0.005748 ëá->0.000029 ëâ->0.000024 ëã->0.000196 ëä->0.000026 ëå->0.003568 ëæ->0.000331 ëç->0.000018 ëè->0.006388 ëé->0.000000 ëê->0.000218 ëë->0.000124 ëì->0.000005 ëí->0.000230 ëî->0.005185 ëï->0.000044 ëð->0.000000 ëñ->0.001416 ëò->0.000034 ëó->0.001332 ëô->0.000005 ëõ->0.000000 ëö->0.000000 ë÷->0.000222 ëø->0.000000 ëù->0.000002 ëû->0.000673 ëü->0.003476 ëý->0.000000 ëþ->0.000956 ëÿ->0.001455 ë ->0.006936 
ìà->0.002243 ìá->0.000018 ìâ->0.000000 ìã->0.000065 ìä->0.000000 ìå->0.004171 ìæ->0.000000 ìç->0.000002 ìè->0.002070 ìé->0.000000 ìê->0.000049 ìë->0.000099 ìì->0.000026 ìí->0.001777 ìî->0.003597 ìï->0.000118 ìð->0.000092 ìñ->0.000113 ìò->0.000026 ìó->0.002202 ìô->0.000008 ìõ->0.000000 ìö->0.000008 ì÷->0.000060 ìø->0.000000 ìù->0.000005 ìû->0.000847 ìü->0.000066 ìý->0.000000 ìþ->0.000000 ìÿ->0.000354 ì ->0.007855 
íà->0.009927 íá->0.000003 íâ->0.000006 íã->0.000031 íä->0.000289 íå->0.011303 íæ->0.000000 íç->0.000011 íè->0.006859 íé->0.000000 íê->0.000309 íë->0.000000 íì->0.000000 íí->0.002471 íî->0.010327 íï->0.000000 íð->0.000084 íñ->0.000254 íò->0.000357 íó->0.002207 íô->0.000055 íõ->0.000000 íö->0.000181 í÷->0.000330 íø->0.000018 íù->0.000110 íû->0.002495 íü->0.001174 íý->0.000000 íþ->0.000165 íÿ->0.003460 í ->0.003622 
îà->0.000000 îá->0.003196 îâ->0.006999 îã->0.004818 îä->0.004249 îå->0.001909 îæ->0.002514 îç->0.000834 îè->0.000690 îé->0.002791 îê->0.001748 îë->0.005142 îì->0.005095 îí->0.005256 îî->0.000170 îï->0.001169 îð->0.004763 îñ->0.005580 îò->0.006118 îó->0.000097 îô->0.000297 îõ->0.000348 îö->0.000115 î÷->0.002488 îø->0.000844 îù->0.000183 îû->0.000000 îü->0.000000 îý->0.000018 îþ->0.000605 îÿ->0.000584 î ->0.025431 
ïà->0.001258 ïá->0.000000 ïâ->0.000000 ïã->0.000000 ïä->0.000000 ïå->0.002112 ïæ->0.000000 ïç->0.000000 ïè->0.000797 ïé->0.000000 ïê->0.000055 ïë->0.000424 ïì->0.000000 ïí->0.000126 ïî->0.008737 ïï->0.000516 ïð->0.006726 ïñ->0.000027 ïò->0.000173 ïó->0.000514 ïô->0.000000 ïõ->0.000000 ïö->0.000015 ï÷->0.000010 ïø->0.000000 ïù->0.000000 ïû->0.000189 ïü->0.000053 ïý->0.000000 ïþ->0.000003 ïÿ->0.000500 ï ->0.000045 
ðà->0.006731 ðá->0.000116 ðâ->0.000406 ðã->0.000157 ðä->0.000697 ðå->0.005038 ðæ->0.000231 ðç->0.000031 ðè->0.004451 ðé->0.000000 ðê->0.000154 ðë->0.000052 ðì->0.000213 ðí->0.000546 ðî->0.006747 ðï->0.000095 ðð->0.000063 ðñ->0.000089 ðò->0.000395 ðó->0.002272 ðô->0.000071 ðõ->0.000047 ðö->0.000015 ð÷->0.000052 ðø->0.000285 ðù->0.000016 ðû->0.000892 ðü->0.000880 ðý->0.000000 ðþ->0.000157 ðÿ->0.000952 ð ->0.000616 
ñà->0.001816 ñá->0.000052 ñâ->0.001227 ñã->0.000013 ñä->0.000175 ñå->0.003701 ñæ->0.000016 ñç->0.000008 ñè->0.001266 ñé->0.000000 ñê->0.003185 ñë->0.002847 ñì->0.001182 ñí->0.000873 ñî->0.002414 ñï->0.001703 ñð->0.000126 ññ->0.000728 ñò->0.009722 ñó->0.000592 ñô->0.000000 ñõ->0.000194 ñö->0.000039 ñ÷->0.000404 ñø->0.000120 ñù->0.000000 ñû->0.000205 ñü->0.003358 ñý->0.000000 ñþ->0.000205 ñÿ->0.003704 ñ ->0.003648 
òà->0.005793 òá->0.000000 òâ->0.002184 òã->0.000006 òä->0.000052 òå->0.005426 òæ->0.000002 òç->0.000010 òè->0.003627 òé->0.000000 òê->0.000341 òë->0.000252 òì->0.000019 òí->0.000847 òî->0.014218 òï->0.000086 òð->0.002403 òñ->0.001027 òò->0.000044 òó->0.001342 òô->0.000000 òõ->0.000003 òö->0.000057 ò÷->0.000260 òø->0.000013 òù->0.000024 òû->0.001137 òü->0.006519 òý->0.000000 òþ->0.000044 òÿ->0.000454 ò ->0.005780 
óà->0.000032 óá->0.000487 óâ->0.000690 óã->0.001400 óä->0.001607 óå->0.000157 óæ->0.001597 óç->0.000281 óè->0.000008 óé->0.000152 óê->0.000522 óë->0.001064 óì->0.001308 óí->0.000167 óî->0.000003 óï->0.000545 óð->0.000485 óñ->0.000901 óò->0.001484 óó->0.000000 óô->0.000002 óõ->0.000317 óö->0.000006 ó÷->0.000787 óø->0.000534 óù->0.000244 óû->0.000000 óü->0.000000 óý->0.000010 óþ->0.000708 óÿ->0.000031 ó ->0.006487 
ôà->0.000231 ôá->0.000000 ôâ->0.000000 ôã->0.000000 ôä->0.000000 ôå->0.000312 ôæ->0.000000 ôç->0.000000 ôè->0.000428 ôé->0.000000 ôê->0.000000 ôë->0.000016 ôì->0.000002 ôí->0.000015 ôî->0.000089 ôï->0.000000 ôð->0.000097 ôñ->0.000002 ôò->0.000018 ôó->0.000052 ôô->0.000010 ôõ->0.000000 ôö->0.000000 ô÷->0.000000 ôø->0.000000 ôù->0.000000 ôû->0.000002 ôü->0.000264 ôý->0.000000 ôþ->0.000000 ôÿ->0.000000 ô ->0.000026 
õà->0.000432 õá->0.000000 õâ->0.000200 õã->0.000000 õä->0.000000 õå->0.000065 õæ->0.000000 õç->0.000000 õè->0.000097 õé->0.000000 õê->0.000002 õë->0.000076 õì->0.000073 õí->0.000108 õî->0.002192 õï->0.000000 õð->0.000063 õñ->0.000031 õò->0.000000 õó->0.000097 õô->0.000000 õõ->0.000000 õö->0.000000 õ÷->0.000000 õø->0.000002 õù->0.000000 õû->0.000000 õü->0.000000 õý->0.000000 õþ->0.000000 õÿ->0.000000 õ ->0.002726 
öà->0.000600 öá->0.000000 öâ->0.000021 öã->0.000000 öä->0.000000 öå->0.000661 öæ->0.000000 öç->0.000000 öè->0.000134 öé->0.000000 öê->0.000061 öë->0.000000 öì->0.000005 öí->0.000000 öî->0.000207 öï->0.000000 öð->0.000000 öñ->0.000000 öò->0.000000 öó->0.000121 öô->0.000000 öõ->0.000000 öö->0.000000 ö÷->0.000000 öø->0.000000 öù->0.000000 öû->0.000188 öü->0.000000 öý->0.000000 öþ->0.000000 öÿ->0.000000 ö ->0.000462 
÷à->0.002724 ÷á->0.000000 ÷â->0.000002 ÷ã->0.000000 ÷ä->0.000000 ÷å->0.003969 ÷æ->0.000000 ÷ç->0.000000 ÷è->0.001636 ÷é->0.000000 ÷ê->0.000230 ÷ë->0.000032 ÷ì->0.000002 ÷í->0.000862 ÷î->0.000068 ÷ï->0.000000 ÷ð->0.000296 ÷ñ->0.000002 ÷ò->0.004589 ÷ó->0.000624 ÷ô->0.000000 ÷õ->0.000000 ÷ö->0.000000 ÷÷->0.000000 ÷ø->0.000133 ÷ù->0.000000 ÷û->0.000000 ÷ü->0.000194 ÷ý->0.000000 ÷þ->0.000000 ÷ÿ->0.000000 ÷ ->0.000500 
øà->0.000847 øá->0.000000 øâ->0.000055 øã->0.000000 øä->0.000000 øå->0.002073 øæ->0.000000 øç->0.000000 øè->0.001363 øé->0.000000 øê->0.000488 øë->0.000488 øì->0.000013 øí->0.000335 øî->0.000200 øï->0.000013 øð->0.000010 øñ->0.000000 øò->0.000027 øó->0.000264 øô->0.000000 øõ->0.000000 øö->0.000000 ø÷->0.000000 øø->0.000000 øù->0.000000 øû->0.000000 øü->0.000428 øý->0.000000 øþ->0.000002 øÿ->0.000000 ø ->0.000086 
ùà->0.000280 ùá->0.000000 ùâ->0.000000 ùã->0.000000 ùä->0.000000 ùå->0.001445 ùæ->0.000000 ùç->0.000000 ùè->0.000446 ùé->0.000000 ùê->0.000000 ùë->0.000000 ùì->0.000000 ùí->0.000045 ùî->0.000000 ùï->0.000000 ùð->0.000003 ùñ->0.000000 ùò->0.000000 ùó->0.000102 ùô->0.000000 ùõ->0.000000 ùö->0.000000 ù÷->0.000000 ùø->0.000000 ùù->0.000000 ùû->0.000000 ùü->0.000019 ùý->0.000000 ùþ->0.000000 ùÿ->0.000000 ù ->0.000076 
ûà->0.000000 ûá->0.000142 ûâ->0.000778 ûã->0.000078 ûä->0.000165 ûå->0.000535 ûæ->0.000015 ûç->0.000036 ûè->0.000010 ûé->0.001369 ûê->0.000210 ûë->0.001835 ûì->0.000968 ûí->0.000276 ûî->0.000000 ûï->0.000061 ûð->0.000199 ûñ->0.000719 ûò->0.000859 ûó->0.000002 ûô->0.000000 ûõ->0.000702 ûö->0.000034 û÷->0.000317 ûø->0.000443 ûù->0.000110 ûû->0.000000 ûü->0.000000 ûý->0.000000 ûþ->0.000000 ûÿ->0.000002 û ->0.004616 
üà->0.000000 üá->0.000121 üâ->0.000018 üã->0.000065 üä->0.000044 üå->0.000590 üæ->0.000000 üç->0.000121 üè->0.000134 üé->0.000000 üê->0.001203 üë->0.000000 üì->0.000307 üí->0.001358 üî->0.000003 üï->0.000000 üð->0.000000 üñ->0.000902 üò->0.000160 üó->0.000000 üô->0.000002 üõ->0.000000 üö->0.000060 ü÷->0.000070 üø->0.000419 üù->0.000010 üû->0.000000 üü->0.000000 üý->0.000006 üþ->0.000343 üÿ->0.000584 ü ->0.012377 
ýà->0.000000 ýá->0.000000 ýâ->0.000003 ýã->0.000011 ýä->0.000002 ýå->0.000000 ýæ->0.000000 ýç->0.000000 ýè->0.000000 ýé->0.000006 ýê->0.000047 ýë->0.000010 ýì->0.000006 ýí->0.000006 ýî->0.000000 ýï->0.000013 ýð->0.000000 ýñ->0.000003 ýò->0.002844 ýó->0.000000 ýô->0.000011 ýõ->0.000015 ýö->0.000000 ý÷->0.000000 ýø->0.000005 ýù->0.000000 ýû->0.000000 ýü->0.000000 ýý->0.000000 ýþ->0.000000 ýÿ->0.000000 ý ->0.000008 
þà->0.000000 þá->0.000422 þâ->0.000000 þã->0.000002 þä->0.000276 þå->0.000002 þæ->0.000016 þç->0.000005 þè->0.000000 þé->0.000000 þê->0.000000 þë->0.000005 þì->0.000023 þí->0.000024 þî->0.000000 þï->0.000002 þð->0.000049 þñ->0.000168 þò->0.000281 þó->0.000000 þô->0.000002 þõ->0.000002 þö->0.000002 þ÷->0.000129 þø->0.000015 þù->0.000170 þû->0.000000 þü->0.000000 þý->0.000000 þþ->0.000027 þÿ->0.000000 þ ->0.003323 
ÿà->0.000000 ÿá->0.000005 ÿâ->0.000276 ÿã->0.000040 ÿä->0.000519 ÿå->0.000102 ÿæ->0.000123 ÿç->0.001885 ÿè->0.000005 ÿé->0.000023 ÿê->0.000192 ÿë->0.000787 ÿì->0.000312 ÿí->0.000555 ÿî->0.000000 ÿï->0.000019 ÿð->0.000042 ÿñ->0.000527 ÿò->0.001470 ÿó->0.000000 ÿô->0.000000 ÿõ->0.000124 ÿö->0.000063 ÿ÷->0.000179 ÿø->0.000008 ÿù->0.000124 ÿû->0.000000 ÿü->0.000000 ÿý->0.000000 ÿþ->0.000121 ÿÿ->0.000070 ÿ ->0.012249 
 à->0.002563  á->0.006810  â->0.016899  ã->0.003754  ä->0.007541  å->0.004262  æ->0.002230  ç->0.004367  è->0.011515  é->0.000000  ê->0.009307  ë->0.002627  ì->0.006057  í->0.016624  î->0.010332  ï->0.015168  ð->0.003670  ñ->0.015517  ò->0.009632  ó->0.004566  ô->0.000867  õ->0.001494  ö->0.000293  ÷->0.006550  ø->0.000584  ù->0.000102  û->0.000000  ü->0.000000  ý->0.002915  þ->0.000040  ÿ->0.002938   ->0.000000 
