àà->0.000256 àá->0.001646 àâ->0.005345 àã->0.001558 àä->0.003100 àå->0.001766 àæ->0.001198 àç->0.005409 àè->0.001894 àé->0.001071 àê->0.006607 àë->0.010938 àì->0.004346 àí->0.007726 àî->0.002157 àï->0.002437 àð->0.003332 àñ->0.006472 àò->0.007287 àó->0.000695 àô->0.000983 àõ->0.000000 àö->0.000088 à÷->0.001430 àø->0.002437 àù->0.000248 àû->0.000000 àü->0.000000 àý->0.000487 àþ->0.000967 àÿ->0.003220 
ëà->0.009979 ëá->0.000272 ëâ->0.000759 ëã->0.000431 ëä->0.000240 ëå->0.004578 ëæ->0.000439 ëç->0.000152 ëè->0.006703 ëé->0.000000 ëê->0.001278 ëë->0.000136 ëì->0.000192 ëí->0.001103 ëî->0.007231 ëï->0.000775 ëð->0.000168 ëñ->0.002141 ëò->0.000336 ëó->0.001694 ëô->0.000008 ëõ->0.000000 ëö->0.000008 ë÷->0.000775 ëø->0.000032 ëù->0.000000 ëû->0.001294 ëü->0.003699 ëý->0.000120 ëþ->0.001518 ëÿ->0.002021 
ìà->0.003483 ìá->0.000575 ìâ->0.000775 ìã->0.000304 ìä->0.000384 ìå->0.003995 ìæ->0.000104 ìç->0.000192 ìè->0.004458 ìé->0.000000 ìê->0.000727 ìë->0.000360 ìì->0.000272 ìí->0.002333 ìî->0.004698 ìï->0.000903 ìð->0.000224 ìñ->0.001262 ìò->0.000184 ìó->0.003004 ìô->0.000032 ìõ->0.000000 ìö->0.000016 ì÷->0.000559 ìø->0.000056 ìù->0.000008 ìû->0.000943 ìü->0.000056 ìý->0.000072 ìþ->0.000000 ìÿ->0.000703 
íà->0.013455 íá->0.000336 íâ->0.000376 íã->0.000104 íä->0.001318 íå->0.011465 íæ->0.000048 íç->0.000184 íè->0.010107 íé->0.000000 íê->0.000431 íë->0.000072 íì->0.000136 íí->0.003523 íî->0.010011 íï->0.000439 íð->0.000240 íñ->0.001454 íò->0.000391 íó->0.002772 íô->0.000040 íõ->0.000000 íö->0.000391 í÷->0.000519 íø->0.000008 íù->0.000112 íû->0.003603 íü->0.001398 íý->0.000016 íþ->0.000192 íÿ->0.003659 
îà->0.000176 îá->0.005505 îâ->0.010163 îã->0.005665 îä->0.005944 îå->0.003763 îæ->0.002165 îç->0.001662 îè->0.002005 îé->0.004011 îê->0.002685 îë->0.008022 îì->0.006863 îí->0.010834 îî->0.003068 îï->0.003460 îð->0.007215 îñ->0.009803 îò->0.009588 îó->0.000751 îô->0.000104 îõ->0.000000 îö->0.000128 î÷->0.003052 îø->0.001334 îù->0.000120 îû->0.000000 îü->0.000000 îý->0.000312 îþ->0.001047 îÿ->0.001071 
ïà->0.000871 ïá->0.000000 ïâ->0.000000 ïã->0.000000 ïä->0.000008 ïå->0.003372 ïæ->0.000000 ïç->0.000000 ïè->0.000911 ïé->0.000000 ïê->0.000128 ïë->0.000583 ïì->0.000008 ïí->0.000080 ïî->0.009420 ïï->0.000016 ïð->0.006975 ïñ->0.000016 ïò->0.000032 ïó->0.000799 ïô->0.000008 ïõ->0.000000 ïö->0.000008 ï÷->0.000032 ïø->0.000016 ïù->0.000000 ïû->0.000272 ïü->0.000479 ïý->0.000000 ïþ->0.000000 ïÿ->0.000376 
ðà->0.009691 ðá->0.000463 ðâ->0.000543 ðã->0.000567 ðä->0.000360 ðå->0.007143 ðæ->0.000407 ðç->0.000088 ðè->0.005808 ðé->0.000000 ðê->0.000320 ðë->0.000072 ðì->0.000088 ðí->0.000767 ðî->0.007247 ðï->0.000160 ðð->0.000040 ðñ->0.000304 ðò->0.000447 ðó->0.002653 ðô->0.000048 ðõ->0.000000 ðö->0.000048 ð÷->0.000080 ðø->0.000336 ðù->0.000032 ðû->0.001814 ðü->0.001254 ðý->0.000008 ðþ->0.000104 ðÿ->0.001023 
ñà->0.002013 ñá->0.000296 ñâ->0.003004 ñã->0.000104 ñä->0.000671 ñå->0.004083 ñæ->0.000160 ñç->0.000080 ñè->0.001686 ñé->0.000000 ñê->0.005417 ñë->0.002876 ñì->0.001119 ñí->0.001566 ñî->0.003875 ñï->0.002317 ñð->0.000256 ññ->0.001238 ñò->0.013391 ñó->0.001230 ñô->0.000016 ñõ->0.000000 ñö->0.000008 ñ÷->0.000495 ñø->0.000136 ñù->0.000000 ñû->0.000368 ñü->0.003412 ñý->0.000056 ñþ->0.000104 ñÿ->0.003260 
òà->0.007478 òá->0.000264 òâ->0.003499 òã->0.000080 òä->0.000463 òå->0.005257 òæ->0.000048 òç->0.000144 òè->0.003811 òé->0.000000 òê->0.000775 òë->0.000320 òì->0.000232 òí->0.001774 òî->0.016555 òï->0.000463 òð->0.003060 òñ->0.001398 òò->0.000296 òó->0.001254 òô->0.000008 òõ->0.000000 òö->0.000192 ò÷->0.000399 òø->0.000008 òù->0.000048 òû->0.001494 òü->0.006552 òý->0.000120 òþ->0.000088 òÿ->0.000703 
óà->0.000232 óá->0.000935 óâ->0.001782 óã->0.001486 óä->0.002141 óå->0.000431 óæ->0.001902 óç->0.000559 óè->0.000751 óé->0.000072 óê->0.001143 óë->0.001366 óì->0.001630 óí->0.001119 óî->0.000687 óï->0.001166 óð->0.000999 óñ->0.001870 óò->0.001622 óó->0.000104 óô->0.000064 óõ->0.000000 óö->0.000016 ó÷->0.001206 óø->0.001143 óù->0.000288 óû->0.000000 óü->0.000000 óý->0.000064 óþ->0.001063 óÿ->0.000096 
ôà->0.000224 ôá->0.000016 ôâ->0.000040 ôã->0.000000 ôä->0.000016 ôå->0.000208 ôæ->0.000000 ôç->0.000000 ôè->0.000799 ôé->0.000000 ôê->0.000024 ôë->0.000040 ôì->0.000008 ôí->0.000008 ôî->0.000104 ôï->0.000024 ôð->0.000232 ôñ->0.000040 ôò->0.000080 ôó->0.000120 ôô->0.000000 ôõ->0.000000 ôö->0.000000 ô÷->0.000000 ôø->0.000000 ôù->0.000000 ôû->0.000008 ôü->0.000000 ôý->0.000000 ôþ->0.000008 ôÿ->0.000000 
õà->0.000000 õá->0.000000 õâ->0.000000 õã->0.000000 õä->0.000000 õå->0.000000 õæ->0.000000 õç->0.000000 õè->0.000000 õé->0.000000 õê->0.000000 õë->0.000000 õì->0.000000 õí->0.000000 õî->0.000000 õï->0.000000 õð->0.000000 õñ->0.000000 õò->0.000000 õó->0.000000 õô->0.000000 õõ->0.000000 õö->0.000000 õ÷->0.000000 õø->0.000000 õù->0.000000 õû->0.000000 õü->0.000000 õý->0.000000 õþ->0.000000 õÿ->0.000000 
öà->0.000631 öá->0.000008 öâ->0.000032 öã->0.000000 öä->0.000000 öå->0.000671 öæ->0.000000 öç->0.000008 öè->0.000160 öé->0.000000 öê->0.000128 öë->0.000008 öì->0.000000 öí->0.000056 öî->0.000384 öï->0.000024 öð->0.000000 öñ->0.000056 öò->0.000016 öó->0.000360 öô->0.000000 öõ->0.000000 öö->0.000000 ö÷->0.000008 öø->0.000000 öù->0.000000 öû->0.000120 öü->0.000000 öý->0.000008 öþ->0.000000 öÿ->0.000000 
÷à->0.002525 ÷á->0.000024 ÷â->0.000048 ÷ã->0.000000 ÷ä->0.000008 ÷å->0.003611 ÷æ->0.000000 ÷ç->0.000000 ÷è->0.001758 ÷é->0.000000 ÷ê->0.000344 ÷ë->0.000064 ÷ì->0.000008 ÷í->0.000711 ÷î->0.000040 ÷ï->0.000032 ÷ð->0.000040 ÷ñ->0.000040 ÷ò->0.004466 ÷ó->0.000855 ÷ô->0.000000 ÷õ->0.000000 ÷ö->0.000000 ÷÷->0.000000 ÷ø->0.000144 ÷ù->0.000000 ÷û->0.000000 ÷ü->0.000224 ÷ý->0.000000 ÷þ->0.000000 ÷ÿ->0.000000 
øà->0.002309 øá->0.000008 øâ->0.000032 øã->0.000016 øä->0.000000 øå->0.002253 øæ->0.000000 øç->0.000008 øè->0.002197 øé->0.000000 øê->0.000767 øë->0.000559 øì->0.000016 øí->0.000607 øî->0.000352 øï->0.000072 øð->0.000008 øñ->0.000000 øò->0.000008 øó->0.000415 øô->0.000000 øõ->0.000000 øö->0.000008 ø÷->0.000000 øø->0.000016 øù->0.000000 øû->0.000000 øü->0.000296 øý->0.000008 øþ->0.000000 øÿ->0.000000 
ùà->0.000320 ùá->0.000000 ùâ->0.000000 ùã->0.000000 ùä->0.000000 ùå->0.001726 ùæ->0.000000 ùç->0.000000 ùè->0.000759 ùé->0.000000 ùê->0.000008 ùë->0.000000 ùì->0.000000 ùí->0.000024 ùî->0.000000 ùï->0.000000 ùð->0.000000 ùñ->0.000000 ùò->0.000000 ùó->0.000080 ùô->0.000000 ùõ->0.000000 ùö->0.000000 ù÷->0.000000 ùø->0.000000 ùù->0.000000 ùû->0.000000 ùü->0.000016 ùý->0.000000 ùþ->0.000000 ùÿ->0.000000 
ûà->0.000232 ûá->0.000759 ûâ->0.001630 ûã->0.000256 ûä->0.000360 ûå->0.001438 ûæ->0.000096 ûç->0.000192 ûè->0.000567 ûé->0.001614 ûê->0.000551 ûë->0.003276 ûì->0.002013 ûí->0.000903 ûî->0.000447 ûï->0.000567 ûð->0.000336 ûñ->0.001310 ûò->0.000927 ûó->0.000088 ûô->0.000016 ûõ->0.000000 ûö->0.000040 û÷->0.000224 ûø->0.000671 ûù->0.000000 ûû->0.000000 ûü->0.000000 ûý->0.000056 ûþ->0.000000 ûÿ->0.000048 
üà->0.000591 üá->0.000471 üâ->0.001190 üã->0.000256 üä->0.000368 üå->0.001933 üæ->0.000120 üç->0.000391 üè->0.001182 üé->0.000008 üê->0.002165 üë->0.000184 üì->0.000583 üí->0.002277 üî->0.000959 üï->0.000887 üð->0.000248 üñ->0.002261 üò->0.000671 üó->0.000256 üô->0.000016 üõ->0.000000 üö->0.000128 ü÷->0.000503 üø->0.000535 üù->0.000024 üû->0.000000 üü->0.000000 üý->0.000152 üþ->0.000519 üÿ->0.000815 
ýà->0.000000 ýá->0.000000 ýâ->0.000008 ýã->0.000000 ýä->0.000016 ýå->0.000000 ýæ->0.000000 ýç->0.000000 ýè->0.000000 ýé->0.000008 ýê->0.000032 ýë->0.000064 ýì->0.000016 ýí->0.000016 ýî->0.000000 ýï->0.000008 ýð->0.000024 ýñ->0.000016 ýò->0.002724 ýó->0.000000 ýô->0.000000 ýõ->0.000000 ýö->0.000000 ý÷->0.000000 ýø->0.000000 ýù->0.000000 ýû->0.000000 ýü->0.000000 ýý->0.000000 ýþ->0.000000 ýÿ->0.000000 
þà->0.000176 þá->0.000879 þâ->0.000264 þã->0.000112 þä->0.000607 þå->0.000128 þæ->0.000088 þç->0.000104 þè->0.000439 þé->0.000000 þê->0.000304 þë->0.000328 þì->0.000272 þí->0.000415 þî->0.000256 þï->0.000336 þð->0.000120 þñ->0.000767 þò->0.000447 þó->0.000136 þô->0.000008 þõ->0.000000 þö->0.000008 þ÷->0.000288 þø->0.000511 þù->0.000463 þû->0.000000 þü->0.000000 þý->0.000080 þþ->0.000032 þÿ->0.000040 
ÿà->0.000360 ÿá->0.000575 ÿâ->0.001406 ÿã->0.000391 ÿä->0.001550 ÿå->0.000519 ÿæ->0.000695 ÿç->0.001734 ÿè->0.000975 ÿé->0.000064 ÿê->0.000815 ÿë->0.001174 ÿì->0.000839 ÿí->0.002445 ÿî->0.000983 ÿï->0.001135 ÿð->0.000320 ÿñ->0.002645 ÿò->0.002093 ÿó->0.000272 ÿô->0.000048 ÿõ->0.000000 ÿö->0.000112 ÿ÷->0.000567 ÿø->0.000072 ÿù->0.000336 ÿû->0.000000 ÿü->0.000000 ÿý->0.000200 ÿþ->0.000104 ÿÿ->0.000224 
